,0,1
0,187.209716796875,291.8763732910156
1,196.67385864257812,282.419677734375
2,178.4120330810547,283.0625
3,187.5879669189453,273.9375
4,172.5,272.0
5,202.5879669189453,270.9375
6,181.209716796875,262.8763732910156
7,194.209716796875,261.8763732910156
8,208.209716796875,259.8763732910156
9,168.0,260.0
10,189.12857055664062,250.5
11,176.209716796875,250.87637329101562
12,201.44366455078125,249.02816772460938
13,164.38534545898438,246.38534545898438
14,212.06080627441406,246.27928161621094
15,186.29025268554688,238.20181274414062
16,173.52113342285156,237.06338500976562
17,198.0,236.0
18,209.5,234.0
19,161.72706604003906,233.13870239257812
20,189.0,224.5
21,217.47886657714844,224.06338500976562
22,202.61465454101562,223.61465454101562
23,172.42190551757812,224.19346618652344
24,158.52113342285156,220.93661499023438
25,181.5,213.87142944335938
26,208.79818725585938,212.29025268554688
27,195.790283203125,212.12362670898438
28,168.79818725585938,212.29025268554688
29,221.0625,211.4120330810547
30,155.5,207.12857055664062
31,180.42190551757812,200.80653381347656
32,210.12857055664062,199.5
33,194.4337921142578,200.0
34,166.9144744873047,200.0855255126953
35,224.5,199.0
36,152.12857055664062,194.5
37,201.61465454101562,188.38534545898438
38,188.80653381347656,187.42190551757812
39,163.19346618652344,187.42190551757812
40,229.19346618652344,186.42190551757812
41,216.6436767578125,187.19081115722656
42,176.0,187.0
43,148.80653381347656,181.42190551757812
44,209.209716796875,176.87637329101562
45,196.9144744873047,176.9144744873047
46,184.53472900390625,176.44444274902344
47,223.5,175.87142944335938
48,234.38534545898438,174.38534545898438
49,159.790283203125,174.12362670898438
50,172.6114959716797,173.25286865234375
51,145.0,168.5662078857422
52,213.31494140625,163.68505859375
53,195.38534545898438,163.38534545898438
54,182.0,163.11842346191406
55,238.29025268554688,162.20181274414062
56,225.68505859375,161.68505859375
57,167.66212463378906,161.12698364257812
58,156.13870239257812,161.27293395996094
59,140.5,155.87142944335938
60,194.0,124.5
61,177.5,123.5
62,162.42190551757812,121.80652618408203
63,208.9375,117.58795928955078
64,142.79818725585938,117.70974731445312
65,225.9375,113.58795928955078
66,185.87301635742188,113.6621322631836
